"14","Next plc","NXT.L","23951344155","209.82","United Kingdom"
"30","JD Sports Fashion","JD.L","5579495394","1.17033","United Kingdom"
"32","Burberry","BRBY.L","5267015854","14.7037","United Kingdom"
"55","Capri Holdings","CPRI","1513012736","13.18","United Kingdom"
"73","ASOS","ASC.L","679646826","5.68035","United Kingdom"
"85","Boohoo Group","DEBS.L","463435246","0.294617","United Kingdom"
"133","Perfect Moment","PMNT","6384303","0.12","United Kingdom"
